rtdate,AUD,CAD,CHF,DKK,EUR,GBP,HKD,JPY,MXN,NOK,NZD,SGD,USD
1/1/2010,0.897274,0.950525,0.965531,0.1925,1.43335,1.61681,0.128957,0.01075,0.076359,0.173289,0.726,0.711794,1
2/1/2018,0.83272,0.8152,1.13206,0.17519,1.30855,1.48749,0.13557,0.009982,0.05731,0.13532,0.77452,0.80346,1
